order_id,customer_id,order_value,product_category,return_ratio,returns_velocity_30d,days_since_purchase,payment_method,is_fraud
ORD-00000092,CUST-07144,195.37,Clothing,0.042,1,7,Gift Card,0
ORD-00000093,CUST-03306,51.33,Electronics,0.35,0,1,Debit Card,0
ORD-00000094,CUST-01199,69.26,Clothing,0.147,2,10,Credit Card,0
ORD-00000095,CUST-08411,65.78,Clothing,0.116,0,4,Gift Card,0
ORD-00000096,CUST-03091,27.92,Clothing,0.106,0,1,Credit Card,0
ORD-00000097,CUST-00375,114.08,Home & Garden,0.252,0,4,Debit Card,0
ORD-00000098,CUST-08233,110.92,Clothing,0.389,0,1,Credit Card,0
ORD-00000099,CUST-06856,90.39,Clothing,0.043,1,16,Credit Card,0
ORD-00000100,CUST-05595,74.61,Beauty,0.421,3,5,Credit Card,0
ORD-00000101,CUST-04955,29.01,Electronics,0.051,1,2,PayPal,0
ORD-00000102,CUST-02699,64.3,Clothing,0.351,1,3,Debit Card,0
ORD-00000103,CUST-01144,68.43,Home & Garden,0.064,0,10,Credit Card,0
ORD-00000104,CUST-02350,47.38,Clothing,0.146,0,11,Credit Card,0
ORD-00000105,CUST-08001,79.12,Electronics,0.085,0,1,Credit Card,0
ORD-00000106,CUST-03122,124.37,Clothing,0.134,1,1,Credit Card,0
ORD-00000107,CUST-08685,407.06,Clothing,0.251,0,18,Credit Card,0
ORD-00000108,CUST-04348,103.51,Clothing,0.253,0,3,Credit Card,0
ORD-00000109,CUST-08688,110.61,Electronics,0.158,0,2,Debit Card,0
ORD-00000110,CUST-02530,84.81,Beauty,0.083,1,1,Credit Card,0
ORD-00000111,CUST-08445,19.39,Home & Garden,0.207,0,5,Credit Card,0
ORD-00000112,CUST-01799,88.13,Clothing,0.075,1,11,Debit Card,0
ORD-00000113,CUST-05843,94.46,Clothing,0.172,0,6,Credit Card,0
ORD-00000114,CUST-08000,645.87,Beauty,0.22,0,1,Debit Card,0
ORD-00000115,CUST-04348,77.18,Electronics,0.064,1,5,Credit Card,0
ORD-00000116,CUST-10000,114.58,Electronics,0.078,0,3,Debit Card,0
ORD-00000117,CUST-00256,87.55,Clothing,0.078,0,9,Credit Card,0
ORD-00000118,CUST-07799,35.34,Home & Garden,0.127,1,6,Credit Card,0
ORD-00000119,CUST-09287,224.59,Electronics,0.173,1,24,Credit Card,0
ORD-00000120,CUST-02942,164.28,Toys,0.092,1,7,Credit Card,0
ORD-00000121,CUST-04282,169.5,Clothing,0.355,2,8,Debit Card,0
ORD-00000122,CUST-00921,43.49,Clothing,0.063,0,6,PayPal,0
ORD-00000123,CUST-06943,276.51,Electronics,0.2,0,3,Credit Card,0
ORD-00000124,CUST-07664,29.33,Electronics,0.386,0,7,Debit Card,0
ORD-00000125,CUST-00161,143.95,Home & Garden,0.022,1,3,Debit Card,0
ORD-00000126,CUST-01260,519.24,Toys,0.071,1,9,PayPal,0
ORD-00000127,CUST-02210,40.75,Clothing,0.033,0,2,Credit Card,0
ORD-00000128,CUST-05001,57.22,Toys,0.101,1,4,Credit Card,0
ORD-00000129,CUST-00275,97.49,Home & Garden,0.045,1,7,Debit Card,0
ORD-00000130,CUST-09720,60.17,Clothing,0.071,1,7,PayPal,0
ORD-00000131,CUST-01761,26.04,Clothing,0.324,0,8,Credit Card,0
ORD-00000132,CUST-05280,95.09,Clothing,0.201,0,9,Credit Card,0
ORD-00000133,CUST-03084,38.48,Clothing,0.206,0,3,PayPal,0
ORD-00000134,CUST-00333,131.48,Electronics,0.106,1,16,Credit Card,0
ORD-00000135,CUST-02634,43.14,Clothing,0.235,2,1,Credit Card,0
ORD-00000136,CUST-05269,311.05,Electronics,0.049,2,2,Debit Card,0
ORD-00000137,CUST-07968,48.11,Home & Garden,0.103,0,1,Credit Card,0
ORD-00000138,CUST-00368,69.57,Home & Garden,0.086,0,8,Gift Card,0
ORD-00000139,CUST-06998,172.57,Electronics,0.254,0,3,Credit Card,0
ORD-00000140,CUST-01964,33.63,Clothing,0.115,0,2,Credit Card,0
ORD-00000141,CUST-06564,107.98,Clothing,0.131,0,5,Credit Card,0
ORD-00000142,CUST-01936,256.14,Clothing,0.116,1,7,Credit Card,0
ORD-00000143,CUST-01421,24.88,Electronics,0.26,3,7,Credit Card,0
ORD-00000144,CUST-08118,104.35,Clothing,0.101,0,6,Debit Card,0
ORD-00000145,CUST-09587,110.82,Electronics,0.048,0,34,Credit Card,0
ORD-00000146,CUST-07642,168.25,Electronics,0.424,2,14,Debit Card,0
ORD-00000147,CUST-03082,33.46,Electronics,0.198,3,2,Credit Card,0
ORD-00000148,CUST-03715,31.3,Electronics,0.029,1,10,Credit Card,0
ORD-00000149,CUST-01709,136.67,Home & Garden,0.135,0,6,Debit Card,0
ORD-00000150,CUST-01260,114.16,Toys,0.034,0,1,Debit Card,0
ORD-00000151,CUST-07872,109.99,Clothing,0.099,0,1,Credit Card,0
ORD-00000152,CUST-06353,118.77,Clothing,0.306,1,12,Credit Card,0
ORD-00000153,CUST-09861,52.25,Electronics,0.187,0,6,Credit Card,0
ORD-00000154,CUST-01590,108.4,Clothing,0.088,0,6,Debit Card,0
ORD-00000155,CUST-00621,113.8,Electronics,0.355,1,3,Credit Card,0
ORD-00000156,CUST-06766,50.83,Clothing,0.033,0,19,Credit Card,0
ORD-00000157,CUST-09273,400.46,Beauty,0.125,1,9,Credit Card,0
ORD-00000158,CUST-08150,131.51,Electronics,0.163,2,19,Credit Card,0
ORD-00000159,CUST-07678,34.71,Home & Garden,0.26,0,1,Gift Card,1
ORD-00000160,CUST-07765,152.21,Electronics,0.161,1,7,Credit Card,0
ORD-00000161,CUST-02480,41.27,Clothing,0.12,0,8,Credit Card,0
ORD-00000162,CUST-04517,168.96,Electronics,0.034,3,1,Credit Card,0
ORD-00000163,CUST-05387,227.44,Clothing,0.2,0,3,Debit Card,0
ORD-00000164,CUST-02119,46.69,Electronics,0.066,0,2,Debit Card,0
ORD-00000165,CUST-00150,194.55,Clothing,0.469,0,30,Debit Card,0
ORD-00000166,CUST-04206,125.24,Clothing,0.034,1,6,Credit Card,0
ORD-00000167,CUST-01642,173.76,Clothing,0.37,0,3,Credit Card,0
ORD-00000168,CUST-00208,410.52,Clothing,0.298,0,8,Credit Card,0
ORD-00000169,CUST-02231,73.97,Beauty,0.512,0,8,Debit Card,0
ORD-00000170,CUST-02368,49.26,Clothing,0.326,0,3,Credit Card,1
ORD-00000171,CUST-02995,44.19,Electronics,0.181,2,36,Credit Card,0
ORD-00000172,CUST-00552,46.87,Electronics,0.114,0,12,Credit Card,0
ORD-00000173,CUST-03185,84.63,Beauty,0.413,3,4,Credit Card,0
ORD-00000174,CUST-05531,118.26,Clothing,0.192,0,8,Credit Card,0
ORD-00000175,CUST-06893,112.32,Clothing,0.129,1,9,Debit Card,0
ORD-00000176,CUST-09436,174.47,Electronics,0.093,0,2,Debit Card,0
ORD-00000177,CUST-06364,90.96,Clothing,0.052,0,15,Gift Card,0
ORD-00000178,CUST-02231,287.96,Electronics,0.279,0,13,Credit Card,0
ORD-00000179,CUST-05820,72.84,Beauty,0.055,0,10,Credit Card,0
ORD-00000180,CUST-03418,793.25,Beauty,0.445,0,2,Credit Card,0
ORD-00000181,CUST-02448,148.49,Electronics,0.271,0,2,Credit Card,0
ORD-00000182,CUST-06040,45.34,Clothing,0.329,2,2,Debit Card,0
ORD-00000183,CUST-03277,38.22,Electronics,0.213,1,1,Credit Card,0
ORD-00000184,CUST-02720,132.42,Clothing,0.025,2,20,Credit Card,0
ORD-00000185,CUST-00584,75.28,Beauty,0.191,0,14,Credit Card,0
ORD-00000186,CUST-02292,159.37,Clothing,0.112,1,1,Credit Card,0
ORD-00000187,CUST-02926,131.45,Clothing,0.202,2,8,Credit Card,0
ORD-00000188,CUST-02421,84.92,Electronics,0.014,1,2,Credit Card,0
ORD-00000189,CUST-06685,45.72,Home & Garden,0.039,2,1,Debit Card,0
ORD-00000190,CUST-01949,26.79,Clothing,0.034,0,3,Debit Card,0
ORD-00000191,CUST-05282,62.98,Clothing,0.279,1,5,Debit Card,0
ORD-00000192,CUST-06035,178.59,Electronics,0.184,0,1,Credit Card,0
ORD-00000193,CUST-05456,106.83,Clothing,0.377,1,3,Debit Card,0
ORD-00000194,CUST-01567,33.23,Toys,0.167,1,9,Credit Card,0
ORD-00000195,CUST-02417,103.39,Clothing,0.151,1,2,Credit Card,0
ORD-00000196,CUST-02422,122.52,Clothing,0.103,0,5,Debit Card,0
ORD-00000197,CUST-00379,44.39,Clothing,0.131,1,16,Credit Card,0
ORD-00000198,CUST-08881,101.8,Home & Garden,0.069,0,1,Credit Card,0
ORD-00000199,CUST-00087,94.31,Clothing,0.034,0,11,Credit Card,0
ORD-00000200,CUST-09692,36.08,Electronics,0.239,1,4,Debit Card,0
ORD-00000201,CUST-07270,119.85,Clothing,0.124,1,6,Credit Card,0
ORD-00000202,CUST-07498,140.98,Clothing,0.306,2,2,Credit Card,0
ORD-00000203,CUST-09946,214.1,Home & Garden,0.15,0,7,Credit Card,0
ORD-00000204,CUST-05567,209.15,Beauty,0.073,0,10,Credit Card,0
ORD-00000205,CUST-09815,29.9,Clothing,0.23,0,2,Credit Card,0
ORD-00000206,CUST-04199,42.51,Electronics,0.341,1,3,Credit Card,0
ORD-00000207,CUST-00132,135.91,Toys,0.426,0,6,Debit Card,0
ORD-00000208,CUST-07669,135.78,Clothing,0.134,0,4,PayPal,0
ORD-00000209,CUST-09657,135.92,Clothing,0.239,0,3,Debit Card,0
ORD-00000210,CUST-00552,1962.91,Clothing,0.141,0,5,Gift Card,0
ORD-00000211,CUST-09113,142.13,Clothing,0.071,0,3,Debit Card,0
ORD-00000212,CUST-01031,223.29,Electronics,0.196,1,3,Debit Card,0
ORD-00000213,CUST-08670,193.1,Home & Garden,0.171,0,7,Credit Card,0
ORD-00000214,CUST-01643,151.58,Home & Garden,0.381,1,5,Credit Card,0
ORD-00000215,CUST-04649,69.95,Clothing,0.452,0,8,Credit Card,0
ORD-00000216,CUST-01760,165.2,Clothing,0.022,2,13,Credit Card,0
ORD-00000217,CUST-05077,48.51,Electronics,0.193,1,21,Credit Card,0
ORD-00000218,CUST-06130,74.48,Electronics,0.067,1,2,Debit Card,0
ORD-00000219,CUST-03658,61.05,Clothing,0.101,0,7,Debit Card,0
ORD-00000220,CUST-02579,96.11,Clothing,0.073,0,7,Credit Card,0
ORD-00000221,CUST-06980,573.48,Toys,0.053,0,15,Credit Card,0
ORD-00000222,CUST-08508,20.21,Home & Garden,0.106,0,16,Credit Card,0
ORD-00000223,CUST-05986,155.87,Clothing,0.124,0,11,Gift Card,0
ORD-00000224,CUST-03973,24.77,Clothing,0.322,0,7,PayPal,0
ORD-00000225,CUST-07750,61.71,Electronics,0.294,0,2,Credit Card,0
ORD-00000226,CUST-04838,215.11,Toys,0.255,0,3,Debit Card,0
ORD-00000227,CUST-02147,94.77,Clothing,0.131,0,7,Credit Card,0
ORD-00000228,CUST-00452,38.01,Electronics,0.104,0,2,Credit Card,0
ORD-00000229,CUST-03995,50.79,Clothing,0.381,1,2,Debit Card,0
ORD-00000230,CUST-05249,155.04,Beauty,0.174,1,17,Debit Card,0
ORD-00000231,CUST-05200,50.18,Beauty,0.162,0,22,Credit Card,0
ORD-00000232,CUST-04185,107.04,Electronics,0.176,1,1,Credit Card,0
ORD-00000233,CUST-09256,93.36,Beauty,0.291,0,14,Credit Card,0
ORD-00000234,CUST-09476,53.45,Electronics,0.165,0,20,Credit Card,0
ORD-00000235,CUST-01931,500.27,Electronics,0.035,0,6,PayPal,0
ORD-00000236,CUST-02834,149.48,Home & Garden,0.019,0,5,Debit Card,0
ORD-00000237,CUST-09335,17.81,Beauty,0.07,0,18,Debit Card,0
ORD-00000238,CUST-04338,104.5,Clothing,0.155,0,1,Credit Card,0
ORD-00000239,CUST-00279,53.01,Clothing,0.081,2,13,Debit Card,0
ORD-00000240,CUST-03436,178.03,Home & Garden,0.221,0,3,Credit Card,0
ORD-00000241,CUST-06375,47.75,Home & Garden,0.26,1,8,Debit Card,0
ORD-00000242,CUST-08303,82.12,Beauty,0.174,0,3,Credit Card,0
ORD-00000243,CUST-06225,134.83,Clothing,0.059,0,6,Credit Card,0
ORD-00000244,CUST-06057,179.94,Toys,0.067,0,12,Credit Card,0
ORD-00000245,CUST-03770,34.46,Toys,0.351,0,2,Credit Card,0
ORD-00000246,CUST-01515,68.88,Electronics,0.368,1,8,Debit Card,0
ORD-00000247,CUST-08926,61.56,Home & Garden,0.376,1,17,Debit Card,0
ORD-00000248,CUST-08776,53.37,Clothing,0.265,2,17,Debit Card,0
ORD-00000249,CUST-08518,369.58,Clothing,0.393,0,16,Credit Card,0
ORD-00000250,CUST-05338,124.46,Clothing,0.046,0,6,Debit Card,0
ORD-00000251,CUST-09049,32.83,Electronics,0.088,1,11,Credit Card,0
ORD-00000252,CUST-05578,187.6,Clothing,0.243,1,5,Credit Card,0
ORD-00000253,CUST-01108,491.63,Beauty,0.046,0,5,Credit Card,0
ORD-00000254,CUST-07559,205.61,Electronics,0.157,0,3,PayPal,0
ORD-00000255,CUST-02693,26.7,Clothing,0.067,0,3,Credit Card,0
ORD-00000256,CUST-08455,61.11,Beauty,0.352,1,1,Debit Card,0
ORD-00000257,CUST-02607,248.02,Clothing,0.167,1,6,PayPal,0
ORD-00000258,CUST-01692,51.1,Clothing,0.088,0,3,Credit Card,0
ORD-00000259,CUST-07451,128.39,Clothing,0.337,0,2,Gift Card,1
ORD-00000260,CUST-03156,167.29,Clothing,0.085,1,1,Gift Card,0
ORD-00000261,CUST-09146,42.88,Clothing,0.165,0,3,Debit Card,0
ORD-00000262,CUST-02434,85.83,Home & Garden,0.287,0,17,Credit Card,0
ORD-00000263,CUST-08429,6.73,Clothing,0.058,0,6,Credit Card,0
ORD-00000264,CUST-04626,39.67,Home & Garden,0.12,1,6,Credit Card,0
ORD-00000265,CUST-09544,73.55,Clothing,0.053,1,1,Credit Card,0
ORD-00000266,CUST-06943,33.17,Clothing,0.171,0,6,Debit Card,0
ORD-00000267,CUST-03455,332.26,Clothing,0.28,0,8,Credit Card,0
ORD-00000268,CUST-04757,28.67,Home & Garden,0.132,0,2,Credit Card,0
ORD-00000269,CUST-08858,63.31,Clothing,0.178,1,29,Credit Card,0
ORD-00000270,CUST-05169,99.94,Electronics,0.271,1,18,Credit Card,0
ORD-00000271,CUST-00123,285.15,Electronics,0.085,1,35,Gift Card,0
ORD-00000272,CUST-04952,28.54,Electronics,0.085,1,4,Debit Card,0
ORD-00000273,CUST-07524,228.27,Electronics,0.151,2,13,Debit Card,0
ORD-00000274,CUST-05668,90.76,Clothing,0.167,1,3,Credit Card,0
ORD-00000275,CUST-07249,41.05,Electronics,0.09,1,10,Debit Card,0
ORD-00000276,CUST-08122,130.28,Home & Garden,0.291,1,21,Debit Card,0
ORD-00000277,CUST-04208,105.56,Electronics,0.146,0,2,Credit Card,0
ORD-00000278,CUST-04335,55.69,Clothing,0.276,1,2,Debit Card,0
ORD-00000279,CUST-00354,95.19,Clothing,0.258,2,1,PayPal,0
ORD-00000280,CUST-02871,66.14,Electronics,0.098,0,12,Credit Card,0
ORD-00000281,CUST-00177,98.57,Beauty,0.143,0,8,Credit Card,0
ORD-00000282,CUST-03189,152.89,Electronics,0.147,0,6,Gift Card,0
ORD-00000283,CUST-02969,320.16,Clothing,0.09,0,11,Debit Card,0
ORD-00000284,CUST-02248,33.44,Home & Garden,0.12,1,14,Debit Card,0
ORD-00000285,CUST-02632,495.93,Clothing,0.292,4,21,Credit Card,0
ORD-00000286,CUST-05806,18.88,Electronics,0.157,0,2,Credit Card,0
ORD-00000287,CUST-04564,79.72,Clothing,0.116,0,5,Debit Card,0
ORD-00000288,CUST-03008,144.12,Home & Garden,0.056,0,18,Credit Card,0
ORD-00000289,CUST-00545,112.71,Toys,0.047,0,5,Gift Card,0
ORD-00000290,CUST-06695,54.7,Beauty,0.05,1,5,Debit Card,0
ORD-00000291,CUST-02627,76.21,Clothing,0.343,0,20,Credit Card,0
ORD-00000292,CUST-07477,60.68,Toys,0.247,2,10,Credit Card,0
ORD-00000293,CUST-02527,56.18,Electronics,0.174,0,6,Credit Card,0
ORD-00000294,CUST-07144,177.63,Electronics,0.319,0,4,Credit Card,1
ORD-00000295,CUST-09127,119.77,Home & Garden,0.163,0,18,Credit Card,0
ORD-00000296,CUST-09078,51.71,Electronics,0.031,2,1,Credit Card,0
ORD-00000297,CUST-08980,184.87,Electronics,0.069,0,3,Debit Card,0
ORD-00000298,CUST-00914,115.1,Electronics,0.13,1,21,Credit Card,0
ORD-00000299,CUST-03932,172.48,Clothing,0.106,1,5,Credit Card,0
ORD-00000300,CUST-04219,148.96,Home & Garden,0.164,0,7,Credit Card,0
ORD-00000301,CUST-07846,46.38,Clothing,0.242,0,6,Gift Card,0
ORD-00000302,CUST-09367,57.5,Electronics,0.073,0,4,Credit Card,0
ORD-00000303,CUST-01725,163.67,Clothing,0.434,1,8,Credit Card,0
ORD-00000304,CUST-00486,146.69,Beauty,0.171,2,11,Debit Card,0
ORD-00000305,CUST-03979,88.52,Home & Garden,0.21,0,4,Credit Card,0
ORD-00000306,CUST-08912,98.88,Clothing,0.144,0,7,Credit Card,0
ORD-00000307,CUST-07724,250.17,Toys,0.227,1,1,Debit Card,0
ORD-00000308,CUST-09446,56.08,Home & Garden,0.134,0,6,Credit Card,0
ORD-00000309,CUST-03879,139.45,Electronics,0.083,0,10,Credit Card,0
ORD-00000310,CUST-08748,76.57,Electronics,0.197,0,7,Credit Card,0
ORD-00000311,CUST-08563,75.63,Electronics,0.192,1,15,Credit Card,0
ORD-00000312,CUST-09695,216.81,Home & Garden,0.122,0,3,Debit Card,0
ORD-00000313,CUST-03653,174.22,Electronics,0.086,0,5,Credit Card,0
ORD-00000314,CUST-06517,172.57,Clothing,0.122,0,1,Credit Card,0
ORD-00000315,CUST-09732,255.8,Electronics,0.155,0,9,Credit Card,0
ORD-00000316,CUST-06650,91.54,Beauty,0.194,0,5,Credit Card,0
ORD-00000317,CUST-00474,155.33,Clothing,0.195,1,6,Credit Card,0
ORD-00000318,CUST-00878,70.23,Beauty,0.188,1,1,Credit Card,0
ORD-00000319,CUST-05244,116.67,Beauty,0.094,0,42,Credit Card,1
ORD-00000320,CUST-01755,81.12,Electronics,0.183,0,11,Credit Card,0
ORD-00000321,CUST-02311,97.28,Clothing,0.12,1,4,Debit Card,0
ORD-00000322,CUST-05475,144.91,Electronics,0.06,0,6,PayPal,0
ORD-00000323,CUST-08756,46.78,Beauty,0.083,0,7,PayPal,0
ORD-00000324,CUST-01186,480.06,Clothing,0.139,0,23,Credit Card,0
ORD-00000325,CUST-03555,40.25,Electronics,0.201,1,11,Credit Card,0
ORD-00000326,CUST-01541,34.08,Electronics,0.118,1,4,Credit Card,0
ORD-00000327,CUST-08156,227.35,Clothing,0.18,0,27,Credit Card,0
ORD-00000328,CUST-06704,169.58,Beauty,0.137,0,3,Credit Card,0
ORD-00000329,CUST-01876,148.31,Clothing,0.147,1,7,Gift Card,0
ORD-00000330,CUST-00591,148.81,Beauty,0.041,1,9,PayPal,0
ORD-00000331,CUST-00725,89.14,Clothing,0.033,0,3,Credit Card,0
ORD-00000332,CUST-04416,43.91,Electronics,0.06,1,22,Credit Card,0
ORD-00000333,CUST-05737,95.65,Toys,0.112,0,2,Credit Card,0
ORD-00000334,CUST-04123,52.37,Electronics,0.073,0,5,Credit Card,0
ORD-00000335,CUST-09133,196.39,Beauty,0.141,1,2,Credit Card,0
ORD-00000336,CUST-00687,80.03,Clothing,0.191,0,15,Credit Card,0
ORD-00000337,CUST-02741,46.51,Electronics,0.246,0,2,Credit Card,0
ORD-00000338,CUST-06578,69.61,Clothing,0.395,0,1,Debit Card,0
ORD-00000339,CUST-06443,125.25,Toys,0.167,3,1,Credit Card,0
ORD-00000340,CUST-09129,57.34,Toys,0.303,1,4,Credit Card,0
ORD-00000341,CUST-01327,46.63,Electronics,0.122,0,6,Credit Card,0
ORD-00000342,CUST-04141,109.39,Electronics,0.095,0,1,Credit Card,0
ORD-00000343,CUST-05106,109.51,Clothing,0.465,0,1,Credit Card,0
ORD-00000344,CUST-01117,60.01,Clothing,0.193,0,1,Credit Card,0
ORD-00000345,CUST-03582,61.75,Home & Garden,0.055,0,8,Debit Card,0
